epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
177,443.794,0.98227,2.16491,0.8513,0.47602,0.39466,0.39821,0.30131,0.99196,3.12899,0.89093,0.000116538,0.000116538,0.000116538
178,446.363,1.07584,2.58153,0.8346,0.47602,0.39466,0.39821,0.30131,0.99196,3.12899,0.89093,0.00011562,0.00011562,0.00011562
179,448.703,0.99505,2.1587,0.88072,0.47602,0.39466,0.39821,0.30131,0.99196,3.12899,0.89093,0.000114703,0.000114703,0.000114703
180,451.176,1.03824,2.29896,0.86306,0.51113,0.41565,0.41172,0.30994,0.98875,3.08498,0.8883,0.000113785,0.000113785,0.000113785
181,453.66,1.04815,2.38858,0.84522,0.51113,0.41565,0.41172,0.30994,0.98875,3.08498,0.8883,0.000112868,0.000112868,0.000112868
182,456.129,0.98422,2.43,0.85408,0.51113,0.41565,0.41172,0.30994,0.98875,3.08498,0.8883,0.000111951,0.000111951,0.000111951
183,458.561,1.00602,2.19719,0.85696,0.51113,0.41565,0.41172,0.30994,0.98875,3.08498,0.8883,0.000111033,0.000111033,0.000111033
184,461.263,1.09429,2.3307,0.84213,0.5431,0.42588,0.40724,0.30784,0.99389,3.04422,0.8879,0.000110116,0.000110116,0.000110116
185,463.962,1.09819,2.43931,0.84075,0.5431,0.42588,0.40724,0.30784,0.99389,3.04422,0.8879,0.000109198,0.000109198,0.000109198
186,466.799,1.03275,2.16455,0.84577,0.5431,0.42588,0.40724,0.30784,0.99389,3.04422,0.8879,0.000108281,0.000108281,0.000108281
187,469.332,1.00437,2.35832,0.86591,0.5431,0.42588,0.40724,0.30784,0.99389,3.04422,0.8879,0.000107364,0.000107364,0.000107364
188,471.976,1.00855,2.3974,0.84374,0.47548,0.45097,0.41629,0.3094,1.01376,3.01286,0.88878,0.000106446,0.000106446,0.000106446
